Open-circuit voltage / V,R0 / Ohm,Element-1 initial overpotential / V,R1 / Ohm,Tau1 / s,cost,State of Charge / 1,Mode
2.9424746091625713,0.08809024971235616,-0.1361673019636614,0.09998703070291878,83.57767813077909,0.008726708508724482,0.0046637692011751615,Charge
3.003606076230811,0.06868314197322326,-0.09999271572079335,0.09999727813235694,86.65256457571122,0.007067713193308662,0.008821984328314431,Charge
2.8244926669547366,0.0010000623204114664,-0.198180109292872,0.09999975201999681,999.9996755472482,0.04280161078376296,0.0009527970476316915,Discharge
3.052923149387824,0.056683239889312044,-0.08050416673512928,0.09998022311997252,92.69750530482243,0.006215400076834867,0.012978737809392862,Charge
3.1301630142566466,0.04283880491661813,-0.05677661433904588,0.09995778580386028,106.92254646317741,0.005220487480937621,0.02129061627543726,Charge
3.209643411453593,0.03214108495247747,-0.035379523334776966,0.09999436385635534,124.95682881752573,0.004804642423439131,0.033758624239415246,Charge
3.1605818739619327,0.03811391106416467,-0.04761023844442321,0.09999660059000942,112.48536325804231,0.005002713526066026,0.02544652594208023,Charge
3.186482567048773,0.03463150295684896,-0.0401461707557887,0.09999742613811778,117.90804758078383,0.004923693866251678,0.02960266912471061,Charge
3.2299437396241726,0.029847411416707836,-0.03056007815304044,0.09996120799188041,130.86628179933123,0.00479366820259821,0.037914465454656335,Charge
3.2477222396967256,0.028119318776878524,-0.026512086773825168,0.09991309484761597,137.12495818667864,0.004848589971445776,0.04207019129935983,Charge
3.0942084627233024,0.04824017120383963,-0.06690281703524406,0.09999342743052805,98.37274307086803,0.005665047737321775,0.01713509965146403,Charge
3.346065462951164,0.0200795783790194,-0.008913329155466151,0.09999643305776747,193.03362364755196,0.0053238057643317915,0.08362890684305424,Charge
3.263326584196225,0.026288945003177643,-0.023071088691878426,0.09991937552523664,142.15543476734467,0.004923690296549296,0.04622584514736725,Charge
3.3176793009587877,0.021607338775032073,-0.01185518741478921,0.09998877979120797,172.67321705811023,0.00521827808879345,0.06700727934914315,Charge
3.3395235752535357,0.0202105125356281,-0.010085790428817782,0.09989438871755395,182.56034705853168,0.005261021870550995,0.07947318065274382,Charge
3.3326107756424337,0.020827844776082672,-0.010306751987894769,0.09998518496126983,181.76355427832425,0.0053160916378714755,0.07531739677590545,Charge
3.2769908248959703,0.025027233612807783,-0.019993974136828303,0.09991802126960571,148.69461901122398,0.005011217984451717,0.050381851841383565,Charge
3.2997040939579705,0.022751537339967903,-0.015113079509606726,0.09997866084804781,161.5584538803151,0.005196127029055355,0.05869383290256165,Charge
3.3590550529477796,0.019797101036962927,-0.00805970593037089,0.0999923678647322,201.7861447146803,0.005194934953497334,0.09194090271805723,Charge
3.3527345400477104,0.021126996256415093,-0.010478080569472203,0.09945677499087655,195.76803855419408,0.004958321865586932,0.08778494877972871,Charge
3.364890729154906,0.020708799363304043,-0.008925928192405059,0.09999524697594883,206.61943522619137,0.004952982187295159,0.09609677896279642,Charge
3.2890436037185817,0.02364642138061156,-0.016744041197120123,0.09998179923089207,154.39919388892687,0.005105817145903367,0.05453929626210132,Charge
3.3254290562969335,0.02117863770437607,-0.011272805334845436,0.09995767417927942,176.73600908332054,0.0052468353051891865,0.07116164731010689,Charge
3.309180984755001,0.02222541460146966,-0.01356413276207617,0.09989742881069426,167.4135291183932,0.005248267247604632,0.0628497155087553,Charge
3.3712021039415636,0.020378454049973953,-0.008660953792887019,0.09978727910333535,211.10356037171042,0.004876062868559805,0.10025267463375213,Charge
3.3771925460629757,0.021128580628076554,-0.008562145896814189,0.0999558548088153,219.36664639501146,0.004788881945543472,0.10440869957800492,Charge
3.382821090226211,0.020173820501827307,-0.007294792371183296,0.09980591641114735,223.3328238579527,0.0048721186369536955,0.10856478839585734,Charge
3.3992450426771184,0.020787746673188154,-0.007644815108520011,0.09992993597407258,240.52584764219415,0.004469276784099242,0.12103227320380608,Charge
3.388352668559888,0.02093690754764143,-0.008193056809634374,0.09993609070500835,227.92040236802555,0.004612734637453215,0.11272065886966032,Charge
3.39397156952353,0.02015294553013203,-0.006898751159655642,0.09991336685758856,236.21680417837365,0.004701825412093917,0.11687639568337733,Charge
3.415272861322685,0.021248929664609704,-0.0076710670038111,0.09989661866223588,261.11232160842695,0.004076157370540384,0.13350019188870754,Charge
3.4206575921916222,0.020664917662372714,-0.006535960919590884,0.09991872918154857,271.7867703689314,0.0040625662003477185,0.1376560347788575,Charge
3.409890011055298,0.020231501408557402,-0.006745473605935656,0.09999705381472536,252.88277822120483,0.004378011810907025,0.12934423204088888,Charge
3.4047604539337244,0.02040056039464254,-0.00715580568462618,0.09995037773347287,245.41125775980245,0.004440923332763341,0.12518823438403334,Charge
3.4253714135174946,0.020699626153154585,-0.005986610668026191,0.09994295093395589,283.23299529519,0.003968836801703967,0.14181181007479013,Charge
3.4652407564084458,0.0271891440109737,-0.005338133274982862,0.019746536026467903,92.88505758470477,0.0006842233338930156,0.1792062690550802,Charge
3.4679200983769194,0.027260029904146298,-0.004897326444064759,0.019781427152834225,92.57197314308605,0.0007016923872455683,0.18336224578810315,Charge
3.476271158280514,0.027429675071529012,-0.005642949779054801,0.022267197042327207,102.81624342802102,0.0006971624976274412,0.19582994438907272,Charge
