Open-circuit voltage / V,R0 / Ohm,Element-1 initial overpotential / V,R1 / Ohm,Tau1 / s,R2 / Ohm,Tau2 / s,Element-2 initial overpotential / V,R3 / Ohm,Tau3 / s,Element-3 initial overpotential / V,cost,State of Charge / 1,Mode
2.939316516562935,0.047960442958978076,0.20902157752371534,0.09777155619216937,66.60559180665601,0.09749332273571928,113.2612268827373,-0.3179376945616177,0.08840649935748975,1104.603301050605,0.02749157673874504,0.0029183708876849364,0.0046637692011751615,Charge
3.155109551517945,0.029443540120166048,0.1498280095705182,0.06540781085586567,98.49182843859921,0.09159479524541177,149.2973544221791,-0.1973289292350089,0.011471956664449133,5596.543344893574,0.021163116620040896,0.0009828419867420066,0.02544652594208023,Charge
3.2696435269015893,0.026979744966561307,0.043738384424492,0.03331854302086116,73.86526642100068,0.08983163088519629,188.8436619321335,-0.07469480947095497,0.02060897458761809,8102.93005166816,0.02210175399800001,0.0006564748951538754,0.050381851841383565,Charge
2.999508048291707,0.03638121270542106,0.34187977243948986,0.09781458207302506,80.42925511855123,0.09841633381524699,110.34605740834273,-0.4219234670048512,0.03579244249866757,2624.287513613579,0.025889328345986257,0.0018284614625121663,0.008821984328314431,Charge
3.048194754786064,0.0324202611219219,0.2777241299697651,0.09468709919872266,91.5898100858093,0.09713723260828885,125.92695700351308,-0.346227667070784,0.013478310064688224,4092.09261634945,0.02423873720646746,0.0014008381416333452,0.012978737809392862,Charge
3.0892818727171534,0.030688072664208386,0.3234772197367123,0.09479262966066175,107.09135038761902,0.08888962869456736,135.44960307041387,-0.3837187237283767,0.030678970020339515,4993.9961129219055,0.022538829352120718,0.0011976904836540439,0.01713509965146403,Charge
3.2563487050869933,0.02791042009706793,0.08133288167122932,0.03756610399758227,99.43248173521407,0.09000118823721906,170.39473070533214,-0.11487892602002209,0.0054530231407192925,7831.308986155021,0.021753678853232615,0.0006911344957020334,0.04622584514736725,Charge
3.203745934740092,0.02853185401601761,0.06025177778185582,0.05066689468417066,77.83967384186,0.08651061353115926,173.35835844102522,-0.10051813358680095,0.014028218564795632,6817.61453931916,0.020622423720531573,0.0008749661068577373,0.033758624239415246,Charge
3.124985851277585,0.030568241127659733,0.20459766682756633,0.08951175871051771,116.53270786699268,0.08896007802499901,157.39445925846186,-0.26031444686916705,0.01073628370955714,5161.132086827982,0.021674461045779133,0.0010849213274100207,0.02129061627543726,Charge
3.223661485161493,0.028554580207161295,0.06180712569882833,0.03777203138516656,75.42365596546745,0.09482097108825327,167.82653846222345,-0.09822662405383613,0.002581229774211369,7267.467807650426,0.02084090488759897,0.0007659197848353985,0.037914465454656335,Charge
3.2410183100465724,0.02881541430018533,0.08379427176172054,0.03054185460695203,82.72710244976967,0.09272553822395146,151.71523819386735,-0.11749135207551753,0.02922280831030707,7650.747942790854,0.02098505848480697,0.0007256220239026531,0.04207019129935983,Charge
3.323389347986782,0.026958330913565524,0.04442217533766347,0.0224677513504965,77.3799438821363,0.0832823735031821,181.48474598549717,-0.0705176069860621,0.016078285835904906,9657.877379125264,0.024184606403311232,0.0005152018147710132,0.07531739677590545,Charge
3.3087999397445307,0.026324106928181587,0.033303625419559287,0.024254421377549802,66.432931737314,0.08823055073330946,193.99209304901999,-0.06048941719078968,0.010708947941224048,9488.409568283387,0.023607993226337935,0.0005634745142046314,0.06700727934914315,Charge
3.3554945189152883,0.02736034824796312,0.0291071270396579,0.015539663496709601,54.385260762594335,0.0832135971469222,193.52414885120317,-0.05217978976641327,0.005158829972182022,10566.665927019587,0.023088154414544985,0.0004797354288388004,0.09609677896279642,Charge
2.8477174639894662,0.0995580090898373,0.37454621299482616,0.09966139460318543,86.07050461321269,0.09875449922787594,314.32570341351703,-0.1999599916432782,0.005867797577050435,4739.330243729769,-0.14465427837030162,0.0049379799078831605,0.0009527970476316915,Discharge
3.1808218486954556,0.029245147172574003,0.11503928180775377,0.056722116536992974,93.45119876762796,0.08606216464297001,151.96698336121966,-0.1571677866400295,0.0871826440640488,6375.832306443354,0.02007875653832768,0.000903591266057008,0.02960266912471061,Charge
3.34908128940767,0.025611062650344806,0.0323984704296247,0.02349236432119986,69.49827076091158,0.07904907018668746,201.36454166330208,-0.05629563658281384,0.011511872704472317,10717.657848054358,0.024257980973942446,0.000458670913166781,0.09194090271805723,Charge
3.2912506229485357,0.028770155353940327,0.055152317553701855,0.016825211585858632,78.67367661450713,0.09585620622162071,167.35666977599197,-0.08391369490501438,0.00898569586747013,9072.133261553023,0.02324581520323251,0.0005932905484901172,0.05869383290256165,Charge
3.3439338871219584,0.02562340929768703,0.035343525479476966,0.028566765036764308,74.87364009662471,0.07332903718357904,199.33487134763536,-0.06048471553445233,0.014380063019467535,9855.151456436,0.022800286213143943,0.0005147960263939648,0.08778494877972871,Charge
3.2812907848982045,0.0289228576195863,0.04326658460388322,0.021517806716646198,74.57323969280381,0.0950766251811943,178.13828077163555,-0.07422024075900786,0.007771064697517749,8439.037047444606,0.022635734943023286,0.0006067000651022774,0.05453929626210132,Charge
3.330424789961882,0.02739186511450346,0.03253546800071822,0.02660835708079624,79.25776618310576,0.08146342495950121,208.38973532112584,-0.05990146327848131,0.010757168745741046,9590.680507843475,0.024044459589369835,0.0005305186708261433,0.07947318065274382,Charge
3.3357367757922294,0.027483486217949837,0.032920250938921675,0.018612162708014274,75.6816568871609,0.09166968766790408,205.86249867926983,-0.058665082685828575,0.012076418845790164,10858.800419806013,0.024825952131571245,0.00047091699419500723,0.08362890684305424,Charge
3.3002131093993397,0.029132619225594174,0.03973010975486282,0.014347895253412764,67.19393357234613,0.09819910044288492,180.6366365681831,-0.0672695187946227,0.015818348453782674,9573.100727378027,0.02360231936046625,0.0005498334443389078,0.0628497155087553,Charge
3.3168899242087395,0.02718138626681732,0.04156306692653409,0.020298933940119918,71.92417616169931,0.08647086215808414,180.9086479821569,-0.06809683280540475,0.006296239873381161,9019.767062156214,0.023686765508509098,0.0005231693629767411,0.07116164731010689,Charge
3.4459917732487133,0.022755802780369545,0.003382549243409949,0.013069316797973605,14.529390245580815,0.026749433773138914,183.99937896283737,-0.016018074534203345,0.01999422145633257,14739.381109624528,0.008598992548667623,0.0002207355876372176,0.1625868096455284,Charge
